activityID,value,qty,cost,risk
P0030,3,FALSE,FALSE,FALSE
P0030,3,FALSE,FALSE,FALSE
P0030,3,FALSE,FALSE,FALSE
P0030,6,FALSE,FALSE,FALSE
P0030,6,FALSE,FALSE,FALSE
P0030,48,FALSE,FALSE,FALSE
P0050,1,FALSE,FALSE,FALSE
P0050,2,FALSE,FALSE,FALSE
P0050,3,FALSE,FALSE,FALSE
P0050,3,FALSE,FALSE,FALSE
P0050,3,FALSE,FALSE,FALSE
P0050,6,FALSE,FALSE,FALSE
P0050,6,FALSE,FALSE,FALSE
P0050,48,FALSE,FALSE,FALSE
P0070,1,FALSE,FALSE,FALSE
P0070,2,FALSE,FALSE,FALSE
P0070,3,FALSE,FALSE,FALSE
P0070,3,FALSE,FALSE,FALSE
P0070,3,FALSE,FALSE,FALSE
P0070,6,FALSE,FALSE,FALSE
P0070,6,FALSE,FALSE,FALSE
P0070,48,FALSE,FALSE,FALSE
P0020,72,TRUE,TRUE,FALSE
P0020,191,TRUE,TRUE,FALSE
P0020,191,TRUE,TRUE,FALSE
P0020,576,TRUE,TRUE,FALSE
P0020,1528,TRUE,TRUE,FALSE
P0020,1528,TRUE,TRUE,FALSE
P0040,72,TRUE,TRUE,FALSE
P0040,191,TRUE,TRUE,FALSE
P0040,191,TRUE,TRUE,FALSE
P0040,576,TRUE,TRUE,FALSE
P0040,1528,TRUE,TRUE,FALSE
P0040,1528,TRUE,TRUE,FALSE
P0060,72,TRUE,TRUE,FALSE
P0060,191,TRUE,TRUE,FALSE
P0060,191,TRUE,TRUE,FALSE
P0060,576,TRUE,TRUE,FALSE
P0060,1528,TRUE,TRUE,FALSE
P0060,1528,TRUE,TRUE,FALSE
C0040,2,FALSE,TRUE,FALSE
C0040,2,FALSE,TRUE,FALSE
C0040,2,FALSE,TRUE,FALSE
C0040,8,FALSE,TRUE,FALSE
C0040,8,FALSE,TRUE,FALSE
C0250,2,FALSE,TRUE,FALSE
C0250,2,FALSE,TRUE,FALSE
C0250,2,FALSE,TRUE,FALSE
C0250,8,FALSE,TRUE,FALSE
C0250,8,FALSE,TRUE,FALSE
C0130,1,TRUE,TRUE,FALSE
C0130,2,TRUE,TRUE,FALSE
C0130,2,TRUE,TRUE,FALSE
C0130,10,TRUE,TRUE,FALSE
C0130,14,TRUE,TRUE,FALSE
C0130,46,TRUE,TRUE,FALSE
C0130,46,TRUE,TRUE,FALSE
C0130,126,TRUE,TRUE,FALSE
C0130,270,TRUE,TRUE,FALSE
C0130,270,TRUE,TRUE,FALSE
C0130,448.92,TRUE,TRUE,FALSE
C0130,448.92,TRUE,TRUE,FALSE
C0140,1,TRUE,TRUE,FALSE
C0140,2,TRUE,TRUE,FALSE
C0140,2,TRUE,TRUE,FALSE
C0140,10,TRUE,TRUE,FALSE
C0140,14,TRUE,TRUE,FALSE
C0140,46,TRUE,TRUE,FALSE
C0140,46,TRUE,TRUE,FALSE
C0140,126,TRUE,TRUE,FALSE
C0140,270,TRUE,TRUE,FALSE
C0140,270,TRUE,TRUE,FALSE
C0140,448.92,TRUE,TRUE,FALSE
C0140,448.92,TRUE,TRUE,FALSE
C0190,1,TRUE,TRUE,FALSE
C0190,2,TRUE,TRUE,FALSE
C0190,2,TRUE,TRUE,FALSE
C0190,10,TRUE,TRUE,FALSE
C0190,14,TRUE,TRUE,FALSE
C0190,46,TRUE,TRUE,FALSE
C0190,46,TRUE,TRUE,FALSE
C0190,126,TRUE,TRUE,FALSE
C0190,270,TRUE,TRUE,FALSE
C0190,270,TRUE,TRUE,FALSE
C0190,448.92,TRUE,TRUE,FALSE
C0190,448.92,TRUE,TRUE,FALSE
C0200,1,TRUE,TRUE,FALSE
C0200,2,TRUE,TRUE,FALSE
C0200,2,TRUE,TRUE,FALSE
C0200,10,TRUE,TRUE,FALSE
C0200,14,TRUE,TRUE,FALSE
C0200,46,TRUE,TRUE,FALSE
C0200,46,TRUE,TRUE,FALSE
C0200,126,TRUE,TRUE,FALSE
C0200,270,TRUE,TRUE,FALSE
C0200,270,TRUE,TRUE,FALSE
C0200,448.92,TRUE,TRUE,FALSE
C0200,448.92,TRUE,TRUE,FALSE
C0220,1,TRUE,TRUE,FALSE
C0220,2,TRUE,TRUE,FALSE
C0220,2,TRUE,TRUE,FALSE
C0220,10,TRUE,TRUE,FALSE
C0220,14,TRUE,TRUE,FALSE
C0220,46,TRUE,TRUE,FALSE
C0220,46,TRUE,TRUE,FALSE
C0220,126,TRUE,TRUE,FALSE
C0220,270,TRUE,TRUE,FALSE
C0220,270,TRUE,TRUE,FALSE
C0220,448.92,TRUE,TRUE,FALSE
C0220,448.92,TRUE,TRUE,FALSE
C0230,1,TRUE,TRUE,FALSE
C0230,2,TRUE,TRUE,FALSE
C0230,2,TRUE,TRUE,FALSE
C0230,10,TRUE,TRUE,FALSE
C0230,14,TRUE,TRUE,FALSE
C0230,46,TRUE,TRUE,FALSE
C0230,46,TRUE,TRUE,FALSE
C0230,126,TRUE,TRUE,FALSE
C0230,270,TRUE,TRUE,FALSE
C0230,270,TRUE,TRUE,FALSE
C0230,448.92,TRUE,TRUE,FALSE
C0230,448.92,TRUE,TRUE,FALSE
C0260,1,TRUE,TRUE,FALSE
C0260,2,TRUE,TRUE,FALSE
C0260,2,TRUE,TRUE,FALSE
C0260,10,TRUE,TRUE,FALSE
C0260,14,TRUE,TRUE,FALSE
C0260,46,TRUE,TRUE,FALSE
C0260,46,TRUE,TRUE,FALSE
C0260,126,TRUE,TRUE,FALSE
C0260,270,TRUE,TRUE,FALSE
C0260,270,TRUE,TRUE,FALSE
C0260,448.92,TRUE,TRUE,FALSE
C0260,448.92,TRUE,TRUE,FALSE
C0270,1,TRUE,TRUE,FALSE
C0270,2,TRUE,TRUE,FALSE
C0270,2,TRUE,TRUE,FALSE
C0270,10,TRUE,TRUE,FALSE
C0270,14,TRUE,TRUE,FALSE
C0270,46,TRUE,TRUE,FALSE
C0270,46,TRUE,TRUE,FALSE
C0270,126,TRUE,TRUE,FALSE
C0270,270,TRUE,TRUE,FALSE
C0270,270,TRUE,TRUE,FALSE
C0270,448.92,TRUE,TRUE,FALSE
C0270,448.92,TRUE,TRUE,FALSE
