activityID,qty,cost,risk,value
C0220,TRUE,TRUE,FALSE,3444705
C0220,TRUE,TRUE,FALSE,3444705
C0220,TRUE,TRUE,FALSE,9509.486222
C0220,TRUE,TRUE,FALSE,9509.486222
C0220,TRUE,TRUE,FALSE,208890
C0220,TRUE,TRUE,FALSE,397388.7493
C0220,TRUE,TRUE,FALSE,598950
C0220,TRUE,TRUE,FALSE,5227.131667
C0230,TRUE,TRUE,FALSE,19343.97283
C0230,TRUE,TRUE,FALSE,19343.97283
C0230,TRUE,TRUE,FALSE,17215.42723
C0230,TRUE,TRUE,FALSE,17215.42723
C0230,TRUE,TRUE,FALSE,3444705
C0230,TRUE,TRUE,FALSE,3444705
C0230,TRUE,TRUE,FALSE,9509.486222
C0230,TRUE,TRUE,FALSE,9509.486222
C0230,TRUE,TRUE,FALSE,208890
C0230,TRUE,TRUE,FALSE,397388.7493
C0230,TRUE,TRUE,FALSE,598950
C0230,TRUE,TRUE,FALSE,5227.131667
C0250,TRUE,FALSE,FALSE,0.055555556
C0250,TRUE,FALSE,FALSE,0.055555556
C0250,TRUE,FALSE,FALSE,0.055555556
C0250,TRUE,FALSE,FALSE,0.002508623
C0250,TRUE,FALSE,FALSE,0.002508623
C0260,TRUE,TRUE,FALSE,19343.97283
C0260,TRUE,TRUE,FALSE,19343.97283
C0260,TRUE,TRUE,FALSE,17215.42723
C0260,TRUE,TRUE,FALSE,17215.42723
C0260,TRUE,TRUE,FALSE,3444705
C0260,TRUE,TRUE,FALSE,3444705
C0260,TRUE,TRUE,FALSE,9509.486222
C0260,TRUE,TRUE,FALSE,9509.486222
C0260,TRUE,TRUE,FALSE,208890
C0260,TRUE,TRUE,FALSE,397388.7493
C0260,TRUE,TRUE,FALSE,598950
C0260,TRUE,TRUE,FALSE,5227.131667
C0270,TRUE,TRUE,FALSE,19343.97283
C0270,TRUE,TRUE,FALSE,19343.97283
C0270,TRUE,TRUE,FALSE,17215.42723
C0270,TRUE,TRUE,FALSE,17215.42723
C0270,TRUE,TRUE,FALSE,3444705
C0270,TRUE,TRUE,FALSE,3444705
C0270,TRUE,TRUE,FALSE,9509.486222
C0270,TRUE,TRUE,FALSE,9509.486222
C0270,TRUE,TRUE,FALSE,208890
C0270,TRUE,TRUE,FALSE,397388.7493
C0270,TRUE,TRUE,FALSE,598950
C0270,TRUE,TRUE,FALSE,5227.131667
E0010,FALSE,FALSE,FALSE,0
E0010,FALSE,FALSE,FALSE,0
E0010,FALSE,FALSE,FALSE,0
E0010,FALSE,FALSE,FALSE,0
E0010,FALSE,FALSE,FALSE,1
E0010,FALSE,FALSE,FALSE,1
E0010,FALSE,FALSE,FALSE,1
E0010,FALSE,FALSE,FALSE,6
E0010,FALSE,FALSE,FALSE,6
E0010,FALSE,FALSE,FALSE,5
E0010,FALSE,FALSE,FALSE,5
E0010,FALSE,FALSE,FALSE,5
E0010,FALSE,FALSE,FALSE,5
E0020,FALSE,FALSE,FALSE,0
E0020,FALSE,FALSE,FALSE,0
E0020,FALSE,FALSE,FALSE,0
E0020,FALSE,FALSE,FALSE,0
E0020,FALSE,FALSE,FALSE,1
E0020,FALSE,FALSE,FALSE,1
E0020,FALSE,FALSE,FALSE,1
E0020,FALSE,FALSE,FALSE,6
E0020,FALSE,FALSE,FALSE,6
E0020,FALSE,FALSE,FALSE,6
E0020,FALSE,FALSE,FALSE,7
E0020,FALSE,FALSE,FALSE,7
E0020,FALSE,FALSE,FALSE,7
E0030,FALSE,FALSE,FALSE,0
E0030,FALSE,FALSE,FALSE,0
E0030,FALSE,FALSE,FALSE,0
E0030,FALSE,FALSE,FALSE,0
E0030,FALSE,FALSE,FALSE,1
E0030,FALSE,FALSE,FALSE,1
E0030,FALSE,FALSE,FALSE,1
E0030,FALSE,FALSE,FALSE,6
E0030,FALSE,FALSE,FALSE,5
E0030,FALSE,FALSE,FALSE,6
E0030,FALSE,FALSE,FALSE,5
E0030,FALSE,FALSE,FALSE,5
E0030,FALSE,FALSE,FALSE,5
E0040,FALSE,FALSE,FALSE,0
E0040,FALSE,FALSE,FALSE,0
E0040,FALSE,FALSE,FALSE,0
E0040,FALSE,FALSE,FALSE,0
E0040,FALSE,FALSE,FALSE,1
E0040,FALSE,FALSE,FALSE,1
E0040,FALSE,FALSE,FALSE,1
E0040,FALSE,FALSE,FALSE,6
E0040,FALSE,FALSE,FALSE,6
E0040,FALSE,FALSE,FALSE,6
E0040,FALSE,FALSE,FALSE,7
E0040,FALSE,FALSE,FALSE,7
E0040,FALSE,FALSE,FALSE,7
E0050,FALSE,FALSE,FALSE,0
E0050,FALSE,FALSE,FALSE,0
E0050,FALSE,FALSE,FALSE,0
E0050,FALSE,FALSE,FALSE,0
E0050,FALSE,FALSE,FALSE,1
E0050,FALSE,FALSE,FALSE,1
E0050,FALSE,FALSE,FALSE,1
E0050,FALSE,FALSE,FALSE,6
E0050,FALSE,FALSE,FALSE,6
E0050,FALSE,FALSE,FALSE,5
E0050,FALSE,FALSE,FALSE,5
E0050,FALSE,FALSE,FALSE,5
E0050,FALSE,FALSE,FALSE,5
E0060,FALSE,FALSE,FALSE,0
E0060,FALSE,FALSE,FALSE,0
E0060,FALSE,FALSE,FALSE,0
E0060,FALSE,FALSE,FALSE,0
E0060,FALSE,FALSE,FALSE,1
E0060,FALSE,FALSE,FALSE,1
E0060,FALSE,FALSE,FALSE,1
E0060,FALSE,FALSE,FALSE,6
E0060,FALSE,FALSE,FALSE,6
E0060,FALSE,FALSE,FALSE,6
E0060,FALSE,FALSE,FALSE,7
E0060,FALSE,FALSE,FALSE,7
E0060,FALSE,FALSE,FALSE,7
G0010,FALSE,FALSE,FALSE,0
G0010,FALSE,FALSE,FALSE,0
G0010,FALSE,FALSE,FALSE,0
G0010,FALSE,FALSE,FALSE,0
G0020,FALSE,FALSE,FALSE,0
G0020,FALSE,FALSE,FALSE,0
G0020,FALSE,FALSE,FALSE,0
G0020,FALSE,FALSE,FALSE,0
G0030,FALSE,FALSE,FALSE,0
G0030,FALSE,FALSE,FALSE,0
G0030,FALSE,FALSE,FALSE,0
G0030,FALSE,FALSE,FALSE,0
P0010,FALSE,FALSE,FALSE,3
P0010,FALSE,FALSE,FALSE,3
P0010,FALSE,FALSE,FALSE,48
P0010,FALSE,FALSE,FALSE,1
P0010,FALSE,FALSE,FALSE,6
P0010,FALSE,FALSE,FALSE,6
P0010,FALSE,FALSE,FALSE,3
P0010,FALSE,FALSE,FALSE,2
P0020,TRUE,TRUE,FALSE,3218244.48
P0020,TRUE,TRUE,FALSE,402280.56
P0020,TRUE,TRUE,FALSE,3218244.48
P0020,TRUE,TRUE,FALSE,402280.56
P0020,TRUE,TRUE,FALSE,402280.56
P0020,TRUE,TRUE,FALSE,3218244.48
P0030,FALSE,FALSE,FALSE,3
P0030,FALSE,FALSE,FALSE,3
P0030,FALSE,FALSE,FALSE,1
P0030,FALSE,FALSE,FALSE,48
P0030,FALSE,FALSE,FALSE,6
P0030,FALSE,FALSE,FALSE,6
P0030,FALSE,FALSE,FALSE,2
P0030,FALSE,FALSE,FALSE,3
P0040,TRUE,TRUE,FALSE,402280.56
P0040,TRUE,TRUE,FALSE,3218244.48
P0040,TRUE,TRUE,FALSE,3218244.48
P0040,TRUE,TRUE,FALSE,402280.56
P0040,TRUE,TRUE,FALSE,402280.56
P0040,TRUE,TRUE,FALSE,3218244.48
P0050,FALSE,FALSE,FALSE,3
P0050,FALSE,FALSE,FALSE,3
P0050,FALSE,FALSE,FALSE,48
P0050,FALSE,FALSE,FALSE,1
P0050,FALSE,FALSE,FALSE,6
P0050,FALSE,FALSE,FALSE,6
P0050,FALSE,FALSE,FALSE,3
P0050,FALSE,FALSE,FALSE,2
P0060,TRUE,TRUE,FALSE,3218244.48
P0060,TRUE,TRUE,FALSE,402280.56
P0060,TRUE,TRUE,FALSE,3218244.48
P0060,TRUE,TRUE,FALSE,402280.56
P0060,TRUE,TRUE,FALSE,402280.56
P0060,TRUE,TRUE,FALSE,3218244.48
P0070,FALSE,FALSE,FALSE,3
P0070,FALSE,FALSE,FALSE,3
P0070,FALSE,FALSE,FALSE,48
P0070,FALSE,FALSE,FALSE,1
P0070,FALSE,FALSE,FALSE,6
P0070,FALSE,FALSE,FALSE,6
P0070,FALSE,FALSE,FALSE,2
P0070,FALSE,FALSE,FALSE,3
