predecessorID,successorID,relationship,lagtime
2513P55R000IN14030,2513C10R000IN00010,FS,0
2513P55R000IN13010,2513M55R000ML10800,FS,0
2513P55R000IN13010,2513P55R000IN13020,FS,0
2513P55R000IN17030,2513C50R000IN00010,FS,0
2513P55R000IN17030,2513C99R000IN00010,FS,0
2513P55R000IN28030,2513C50R000IN00010,FS,0
2513P55R000IN28030,2513C60R000IN00010,FS,0
2513P55R000IN28030,2513C88R000IN00010,FS,0
2513P55R000IN32030,2513C30R000IN00060,FS,0
2513P55R000IN32030,2513C40R000IN00060,FS,0
2513P55R000IN10030,2513C88R000IN00010,FS,0
2513P55R000IN29010,2513P55R000IN29020,FS,0
2513P55R000IN22030,2513C40R000IN00010,FS,0
2513P55R000IN39030,2513C30R000IN00010,FS,0
2513P55R000IN39030,2513C71R000IN00010,FS,0
2513P55R000IN20030,2513C88R000IN00010,FS,0
2513P55R000IN20030,2513C30R000IN00010,FS,0
2513P55R000IN20030,2513C60R000IN00010,FS,0
2513P55R000IN19030,2513C99R000IN00010,FS,0
2513P55R000IN19030,2513C50R000IN00010,FS,0
2513P55R000IN40025,2513P55R000IN40035,FF,0
2513P55R000IN40015,2513P55R000IN40050,FS,0
2513P55R000IN40030,2513P55R000IN40040,FF,0
2513P55R000IN40040,2513P55R000IN40050,SS,110
2513P55R000IN37030,2513C71R000IN00030,FS,0
2513P55R000IN37030,2513C10R000IN00030,FS,0
2513P55R000IN37030,2513C60R000IN00030,FS,0
2513P55R000IN37030,2513C72R000IN00030,FS,0
2513P55R000IN36030,2513C10R000IN00020,FS,0
2513P55R000IN24010,2513M55R000ML10790,FS,0
2513P55R000IN24030,2513C60R000IN00010,FS,0
2513P55R000IN25030,2513C88R000IN00010,FS,0
2513P55R000IN25030,2513M55R000ML11110,FS,0
2513P55R000IN30030,2513C50R000IN00050,SS,0
2513P55R000IN26030,2513M55R000ML11110,FS,0
2513P55R000IN18030,2513C30R000IN00010,FS,0
2513P55R000ST11030,2513C88R699SS00040,FS,0
2513P55R000ST11030,2513C88R699SS00026,FS,0
2513P55R000ST11030,2513C88R699SS00014,FS,0
2513P55R000ST11030,2513C88R699SS00023,FS,0
2513P55R000ST10010,2513M55R000ML10600,FS,0
2513P55R660HV10030,2513C81R660HV00071,FS,0
2513P55R660HV10030,2514C81S660HV00071,FS,0
2513P40R600ME13030,2513M55R000ML10420,FS,0
2513P20R555ME12010,2513P55R000LE00050,SS,0
2513P20R555ME13010,2513P20R555ME13020,FS,0
2513P20R555ME13010,2513M55R000ML10200,FS,0
2513P10R200ME12010,2513P30R420ME10010,SS,0
2513P10R200ME12030,2513C10R200ME00071,FS,0
2513P55R000ME14010,2513P55R000ME14020,FS,0
2513P55R000ME12010,2513P55R000ME12020,FS,0
2513P40R530ME10020,2513P40R530ME10030,FS,0
2513P30R410ME11010,2513M55R000ML10150,FS,0
2513P50R430ME10010,2513P50R430ME10020,FS,0
2513P50R430ME10030,2513M55R000ML10370,FS,0
2513P71R200ME11010,2513M55R000ML10150,FS,0
2513P50R550ME10010,2513P50R550ME10020,FS,0
2513P40R600ME10030,2513P40R600ME11030,SS,0
2513P40R600ME10010,2513P40R600ME10020,FS,0
2513P40R460ME10010,2513P40R460ME10020,FS,0
2513P71R200ME10010,2513P71R200ME10020,FS,0
2513P30R410ME14020,2513M55R000ML10280,FS,0
2513P50R410ME13010,2513P55R000ME14010,SS,146
2513P50R410ME13030,2513C50R410ME00082,FS,0
2513P71R220ME12010,2513M55R000ML10210,FS,0
2513P50R550ME11030,2513C50R550ME00075,FS,0
2513P99R230ME15010,2513P50R550ME11010,SS,0
2513P55R000ME10030,2513C50R410ME00081,FS,0
2513P55R000ME10030,2513C60R555ME00090,FS,0
2513P55R000ME10030,2513C10R690ME00081,FS,0
2513P55R000ME10030,2513C60R555ME00091,FS,0
2513P55R000ME10030,2513C40R460ME00090,FS,0
2513P50R430ME11020,2513P50R430ME11030,FS,0
2513P30R420ME12020,2513M55R000ML10340,FS,0
2513P30R420ME12010,2513P40R520ME10010,SS,0
2513P50R430ME12030,2513C50R430ME00073,FS,0
2513P30R410ME16010,2513M55R000ML10230,FS,0
2513P55R000ME13030,2513C50R410ME00140,FS,0
2513P72R730ME12030,2513C72R730ME00073,FS,0
2513P40R460ME13020,2513M55R000ML10330,FS,0
2513P40R460ME12020,2513M55R000ML10330,FS,0
2513P60R510ME11010,2513P60R510ME11020,FS,0
2513P92R570ME14010,2513P30R570ME15010,SS,0
2513P92R570ME14020,2513P92R570ME14030,FS,0
2513P92R570ME14030,2513C91R570ME00076,FS,0
2513P92R570ME14030,2513M55R000ML10430,FS,0
2513P91R570ME10020,2513P91R570ME10030,FS,0
2513P91R570ME11010,2513M55R000ML10210,FS,0
2513P91R570ME11020,2513P91R570ME11030,FS,0
2513P60R540ME10030,2513C60R540ME00071,FS,0
2513P60R540ME10010,2513P60R540ME10020,FS,0
2513P91R570ME12010,2513P00R570ME13010,SS,0
2513P91R570ME12010,2513M55R000ML10210,FS,0
2513P91R570ME12030,2513C92R570ME00074,FS,0
2513P30R570ME15030,2513C30R570ME00077,FS,0
2513P40R600ME12010,2513M55R000ML10200,FS,0
2513P71R220ME10010,2513M55R000ML10180,FS,0
2513P71R220ME10030,2513C71R220ME00072,FS,0
2513P55R000ME11030,2513M55R000ML10410,FS,0
2513P20R200ME15030,2513M55R000ML10380,FS,0
2513P20R200ME15020,2513M55R000ML10270,FS,0
2513P20R200ME16010,2513P20R200ME16020,FS,0
2513P20R200ME14010,2513P20R200ME14020,FS,0
2513P20R200ME14030,2513M55R000ML10380,FS,0
2513P20R200ME13010,2513M55R000ML10150,FS,0
2513P60R555ME10010,2513P30R410ME17010,SS,0
2513P20R210ME13010,2513P20R210ME14010,SS,0
2513P20R210ME13020,2513P20R210ME13030,FS,0
2513P50R430ME13030,2513M55R000ML10430,FS,0
2513P30R410ME17010,2513P50R410ME18010,SS,0
2513P40R520ME11010,2513M55R000ML10210,FS,0
2513P40R530ME11010,2513P40R530ME11020,FS,0
2513P60R510ME10020,2513P60R510ME10030,FS,0
2513P60R510ME10030,2513C60R510ME00081,FS,0
2513P20R210ME10030,2513M55R000ML10380,FS,0
2513P55R000EL24010,2513P55R000EL24020,FS,0
2513P55R000EL24030,2513M55R000ML11290,FS,0
2513P55R000EL24030,2513M55R000ML11210,FS,0
2513P55R000EL26030,2513C10R000IN00010,FS,0
2513P55R000EL22030,2513C55R960EL00020,FS,0
2513P55R000EL22030,2513C40R000EL00010,SS,0
2513P55R000EL22030,2513C60R000EL00010,FS,0
2513P55R000EL10030,2513C71R990EL00010,FS,0
2513P55R000EL20030,2513C30R000EL00020,FS,0
2513P55R000EL20030,2513C81R000EL00020,FS,0
2513P55R000EL20030,2513C72R000EL00020,FS,0
2513P55R000EL14020,2513P55R000EL14030,FS,0
2513P55R000EL15030,2513C40R000EL00030,FS,0
2513P55R000EL15030,2513C99R000EL00030,FS,0
2513P55R000EL21030,2513C71R000EL00020,FS,0
2513P55R000EL21030,2513C30R000EL00020,FS,0
2513P55R000EL21030,2513C40R000EL00020,FS,0
2513P55R000EL21010,2513P55R000EL21020,FS,0
2513P55R000EL17030,2513C72R935EL00020,FS,0
2513P55R000EL17010,2513M55R000ML10650,FS,0
2513P55R000EL19030,2513C40R935EL00010,FS,0
2513P55R000EL19030,2513C55R935EL00010,FS,0
2513P55R000EL19030,2513C82R935EL00010,FS,0
2513P55R000EL18030,2513C50R945EL00010,FS,0
2513P55R000EL25010,2513M55R000ML10810,FS,0
2513P55R000EL12030,2513C92R990EL00010,FS,0
2513P55R000EL12030,2514C81S990EL00010,FS,0
2513P55R000EL12030,2513C88R990EL00010,FS,0
2513P55R000EL16030,2513C81R990EL00010,FS,0
2513P55R000EL16030,2513C88R990EL00010,FS,0
2513P55R000EL13030,2513C50R000EL00010,FS,0
2513P55R000EL23010,2513M55R000ML10810,FS,0
2513P55R000EL23020,2513M55R000ML11050,FS,0
2513P55R000EL23020,2513M55R000ML10970,FS,0
2513P55R000EL23030,2513C81R935EL00020,FS,0
2513P55R000EL23030,2513C88R935EL00020,FS,0
2513P55R000EL11030,2513C91R990EL00010,FS,0
2513P55R000EL11030,2513C92R990EL00010,FS,0
2513P55R000PI42030,2513M55R000ML11100,FS,0
2513P55R000PI42020,2513M55R000ML10860,FS,0
2513P55R000PI34010,2513M55R000ML10780,FS,0
2513P55R000PI34020,2513P55R000PI34030,FS,0
2513P55R000PI34030,2513C10R150PI00075,SS,0
2513P55R000PI36010,2513P55R000PI36020,FS,0
2513P55R000PI36020,2513P55R000PI36030,FS,0
2513P55R000PI37010,2513P55R000PI37020,FS,0
2513P55R000PI43010,2513P55R000PI43020,FS,0
2513P55R000PI44030,2513C60R150PI00075,FS,0
2513P55R000PI16010,2513P55R000PI16020,FS,0
2513P55R000PI16020,2513P55R000PI16030,FS,0
2513P55R000PI51020,2513P55R000PI51030,FS,0
2513P55R000PI54030,2513C10R150PI00075,FS,0
2513P55R000PI25020,2513P55R000PI25030,FS,0
2513P55R000PI67030,2513C72R150PI00075,FS,0
2513P55R000PI70010,2513M55R000ML57230,SS,0
2513P55R000PI33020,2513P55R000PI33030,FS,0
2513P55R000PI33030,2513M55R000ML11180,FS,0
2513P55R000PI21030,2513C72R150PI00075,FS,0
2513P55R000PI21010,2513M55R000ML10690,FS,0
2513P55R000PI19030,2513C88R150PI00075,FS,0
2513P55R000PI20020,2513P55R000PI20030,FS,0
2513P55R000PI20020,2513M55R000ML10930,FS,0
2513P55R000PI20030,2513M55R000ML11170,FS,0
2513P55R000PI20010,2513P55R000PI20020,FS,0
2513P55R000PI12020,2513P55R000PI12030,FS,0
2513P55R000PI12020,2513M55R000ML11010,FS,0
2513P55R000PI23020,2513P55R000PI23030,FS,0
2513P55R000PI14010,2513M55R000ML10690,FS,0
2513P55R000PI14020,2513M55R000ML10930,FS,0
2513P55R000PI15010,2513M55R000ML10770,FS,0
2513P55R000PI15020,2513P55R000PI15030,FS,0
2513P55R000PI28010,2513P55R000LE00020,SS,0
2513P55R000PI28010,2513M55R000ML10610,FS,0
2513P55R000PI13030,2513C88R150PI00075,FS,0
2513P55R000PI13020,2513M55R000ML11010,FS,0
2513P55R000PI13020,2513P55R000PI13030,FS,0
2513P55R000PI10030,2513M55R000ML11090,FS,0
2513P55R000PI39010,2513P55R000PI39020,FS,0
2513P55R000PI49010,2513P55R000PI49020,FS,0
2513P55R000PI49030,2513C72R150PI00075,FS,0
2513P55R000PI48030,2513C72R150PI00075,FS,0
2513P55R000PI17010,2513P55R000PI17020,FS,0
2513P55R000PI52030,2513C99R150PI00075,FS,0
2513P55R000PI27010,2513P55R000PI27020,FS,0
2513P55R000PI22020,2513M55R000ML11010,FS,0
2513P55R000PI66020,2513P55R000PI66030,FS,0
2513P55R000PI32030,2513C50R150PI00075,FS,0
2513P55R000FF13010,2513M55R000ML10820,FS,0
2513P55R000FF13020,2513M55R000ML10980,FS,0
2513P55R000FF10030,2513M55R000ML11220,FS,0
2513P55R000FF11030,2513M55R000ML11140,FS,0
2513P55R000FF11010,2513M55R000ML10740,FS,0
2513P55R000FF12020,2513M55R000ML10980,FS,0
2513P55R000FF12030,2513M55R000ML11140,FS,0
2513C30R690AR00012,2513C30R570WT00073,FS,0
2513C30R000IN00030,2513C30R000IN00060,FS,0
2513C30R000IN00030,2513C10R000IN00030,FS,0
2513C30R000IN00020,2513C30R000IN00030,FS,0
2513C30R420IS00011,2513C30R410IS00072,FS,0
2513C40R460CV00072,2513C40R460ME00072,FS,7
2513C40R520CV00083,2513C40R945EL00010,SS,0
2513C40R600CV00073,2513C50R410CV00079,SS,0
2513C40R600CV00071,2513C40R600ME00071,FS,7
2513C40R460CV00087,2513C40R460CV00088,SS,0
2513C30R420CV00082,2513C30R410LL00070,FS,14
2513C30R000EL00030,2513C30R000EL00020,FF,0
2513C30R945EL00010,2513C20R945EL00010,FS,0
2513C30R960EL00030,2513C55R960EL00030,FS,0
2513C30R420ME00074,2513C30R420IS00015,FS,15
2513C50R410ME00130,2513C50R410ME00140,FS,0
2513C30R410LL00070,2513E55R000GE20060,FS,0
2513C30R150PI00120,2513F55R900CM00020,FS,0
2513C71R220ME00071,2513C71R150PI00075,SS,0
2513C71R220ME00072,2513F55R220CM00350,FS,0
2513C71R220ME00110,2513C71R220ME00120,SS,16
2513C71R220CV00082,2513C71R220CV00081,SS,21
2513C71R220CV00082,2513C71R220ME00210,FS,37
2513C71R150PI00075,2513M55R000ML20300,FS,0
2513C71R220IS00081,2513C71R200IS00072,FS,0
2513C71R200IS00072,2513C71R220IS00082,FS,0
2513C71R960EL00010,2513C71R960EL00020,SS,0
2513C71R960EL00010,2513C71R935EL00020,SS,0
2513C71R935EL00020,2513C71R000EL00020,FS,0
2513E55R000GE21040,2513M55R000ML11560,FS,0
2513E55R000GE21080,2513M55R000ML11600,FS,0
2513E55R000GE21160,2513M55R000ML11680,FS,0
2513E55R000GE21170,2513M55R000ML11690,FS,0
2513E55R000GE20010,2513E55R000GE21010,FS,0
2513E55R000GE20020,2513M55R000ML11350,FS,0
2513E55R000GE20060,2513F55R410CM00440,FS,0
2513E55R000GE20120,2513M55R000ML11450,FS,0
2513E55R000GE20130,2513E55R000GE21130,FS,0
2513E55R000GE21020,2513M55R000ML11540,FS,0
2513C82R480CV00071,2513C91R480CV00072,SS,0
2513C82R480ME00071,2514C10S480ME00071,SS,0
2513C60R990EL00010,2513M55R000ML20240,FS,0
2513C00R990EL00010,2513M55R000ML20250,FS,0
2513C82R960EL00020,2513C82R960EL00030,SS,0
2513C82R990EL00010,2513C92R990EL00010,FS,0
2513C82R000EL00020,2513M55R000ML20410,FS,0
2513C82R690AR00020,2513C82R690AR00022,SS,0
2513C82R690AR00022,2513C40R460ME00087,FS,0
2513C82R690AR00017,2513C82R690AR00020,FS,0
2513C82R690AR00017,2513C40R690AR00022,SS,60
2513C82R690AR00018,2513C82R690AR00019,FS,0
2513C20R200LL00084,2513M55R000ML11350,FS,0
2513C20R210LL00085,2513M55R000ML11360,FS,0
2513C20R210LL00083,2513C20R150PI00075,FS,0
2513C20R210ME00071,2513F55R210CM00340,FS,0
2513C20R210ME00072,2513C20R935EL00010,SS,0
2513C20R210LL00084,2513E55R000GE20030,FS,0
2513C20R200LL00071,2513F55R200CM00410,FS,0
2513C20R200LL00072,2513C20R150PI00075,FS,0
2513C20R000PI00110,2513C60R000PI00110,SS,0
2513C20R690AR00011,2513C20R690AR00012,FS,0
2513C20R935IN00010,2513C20R000IN00020,SS,0
2513C20R000IN00010,2513C20R000IN00030,SS,15
2513C20R000IN00050,2513C20R000IN00060,FS,0
2513C20R210CV00081,2513C20R210LL00081,SS,28
2513C20R210CV00081,2513C20R210LL00085,FS,28
2513C20R210CV00082,2513C20R210LL00086,FS,28
2513C20R200CV00074,2513C20R200ME00074,FS,28
2513C20R200CV00074,2513C20R555CV00071,FS,60
2513C20R200CV00071,2513M55R000ML00033,FS,45
2513C20R200CV00071,2513C20R200LL00071,FS,28
2513C20R200CV00071,2513C20R200CV00072,SS,0
2513C20R210CV00079,2513C20R210ME00079,FS,28
2513C20R210CV00072,2513C20R210ME00072,FS,28
2513C20R210CV00072,2513C20R210CV00074,SS,0
2513C20R000CV01020,2513C71R000CV01020,SS,43
2513C20R200IS00013,2513F55R200CM00410,FS,0
2513C20R935EL00010,2513C60R935EL00010,SS,0
2513C20R000EL00010,2513C20R960EL00010,FS,0
2513C20R000EL00020,2513M55R000ML20430,FS,0
2513C20R000EL00020,2513M55R000ML20400,FS,0
2513C20R960EL00010,2513C20R000EL00020,FS,0
2513C20R960EL00010,2513C20R960EL00030,FS,0
2513C20R960EL00010,2513C20R960EL00020,SS,0
2513C20R960EL00030,2513C91R960EL00030,FS,0
2513C00R960EL00010,2513C00R960EL00020,FS,0
2513C00R000EL00010,2513M55R000ML20470,FS,0
2513C00R000EL00020,2513F55R210CM00340,FS,0
2513C00R935EL00020,2513C00R000EL00020,FS,0
2513C00R690AR00012,2513C00R690AR00013,SS,60
2513C00R690AR00018,2513C00R000ME00071,FS,0
2513C00R150PI00120,2513F55R900CM00020,SS,0
2513C60R000EL00040,2513C40R000EL00040,FS,0
2513C60R555ME00091,2513G55R000CM00310,FS,0
2513C60R510ME00075,2513F55R510CM00330,FS,0
2513C60R540ME00084,2513F55R540CM00250,FS,0
2513C60R555ME00076,2513F55R550CM00380,FS,0
2513C60R510ME00083,2513E55R000GE20100,FS,0
2513C60R540ME00071,2513M55R000ML11460,FS,0
2513C60R510ME00120,2513C60R510ME00130,SS,76
2513C60R555CV00086,2513C20R555ME00074,FS,0
2513C60R510CV00080,2513C60R510LL00072,FS,28
2513C60R555CV00082,2513C60R555ME00085,FS,28
2513C60R555CV00081,2513C60R555ME00085,FS,0
2513C60R540CV00081,2513C60R555CV00067,SS,0
2513C60R690AR00016,2513F55R555CM00430,FS,0
2513C60R690AR00017,2513M55R000ML20210,FS,0
2513C60R935IN00010,2513C60R000IN00050,FS,0
2513C60R980IN00010,2513C60R000IN00060,FS,0
2513C60R150PI00075,2513C60R150PI00085,SS,121
2513C60R555IS00075,2513F55R555CM00430,FS,0
2513C60R510IS00078,2513C99R230IS00072,FS,0
2513C50R430IS00071,2513F55R430CM00260,FS,0
2513C50R410IS00072,2513M55R000ML11370,FS,0
2513C50R410PA00076,2513F55R410CM00440,FS,0
2513C50R410PA00076,2513E55R000GE20060,FS,0
2513C50R410CV00078,2513C60R510CV00081,FS,0
2513C50R000CV01010,2513C50R000PI00110,SS,0
2513C50R410ME00064,2513F55R410CM00440,FS,0
2513C50R550ME00074,2513C00R550IS00071,FS,38
2513C50R430ME00075,2513E55R000GE20080,FS,0
2513C50R430ME00079,2513C50R410ME00078,SS,0
2513C50R410ME00078,2513C50R410ME00081,FS,0
2513C50R935EL00010,2513C50R935EL00020,FS,0
2513C50R000EL00010,2513C50R960EL00010,FS,0
2513C50R000EL00020,2513M55R000ML20430,FS,0
2513C50R000EL00030,2513C50R000EL00020,FS,0
2513C50R000IN00030,2513C50R000IN00060,FS,0
2513C50R150PI00075,2513C60R150PI00075,SS,24
2513C50R150PI00085,2513E55R000GE21130,SS,0
2513C81R910LL00070,2514C81S910LL00070,SS,0
2513C81R990EL00010,2513C81R000EL00020,FS,0
2513C81R935EL00010,2513C91R935EL00010,FS,0
2513C81R945EL00010,2513C72R945EL00010,SS,0
2513C81R940CV00071,2513C60R990EL00010,FS,0
2513C81R940CV00071,2513C00R990EL00010,FS,0
2513C81R000PI00110,2513C91R000PI00110,SS,0
2513C81R690AR00013,2513C81R660HV00072,SS,73
2513C40R690AR00020,2513C40R690AR00021,FS,0
2513C40R690AR00011,2513C40R690AR00012,FS,0
2513C40R000IN00010,2513C40R000IN00050,FS,0
2513C40R000PI00110,2513C30R000PI00110,SS,34
2513C40R000PI00110,2513C50R000PI00110,SS,14
2513C40R000EL00010,2513C40R000EL00020,FS,0
2513C40R520PA00084,2513F55R520CM00400,FS,0
2513C40R520PA00084,2513E55R000GE20120,SS,0
2513C50R430CV00072,2513C60R510CV00081,SS,0
2513C40R600IS00073,2513C40R600IS00074,SS,0
2513C40R530WT00072,2513C40R530WT00074,SS,0
2513C40R520ME00120,2513C40R520ME00130,SS,62
2513C40R520ME00081,2513G55R000CM00300,FS,0
2513C40R600ME00071,2513E55R000GE20170,FS,0
2513C40R530ME00088,2513C40R520ME00077,SS,0
2513C40R460ME00071,2513C40R600IS00073,FS,0
2513C40R530ME00078,2513C40R530IS00071,FS,0
2513C40R520ME00240,2513C40R520PA00084,FS,0
2513C55R690AR00011,2513C55R945EL00010,FS,0
2513C55R690AR00015,2513C55R690AR00016,FS,0
2513C55R690AR00018,2513C55R690AR00019,FS,0
2513C55R690AR00030,2513C55R690AR00031,FS,14
2513C55R690AR00025,2513G55R570CM00260,FS,0
2513C55R000EL00010,2513C55R960EL00010,FS,0
2513C55R000EL00040,2513C55R000EL00020,FS,0
2513C55R000TP00022,2513C55R000TP00024,SS,31
2513C55R000TP00026,2514C81S690AR00011,FS,0
2513C55R000TP00026,2513M55R000ML11310,FS,0
2513C55R000TP00026,2513M55R000ML57110,FS,0
2513C55R000TP00027,2513C55R000EW10190,FS,0
2513C55R000TP00028,2513C55R000TP00030,SS,0
2513C55R000TP00028,2513C55R000EW10190,FS,0
2513C55R000TP00037,2514C81S690AR00011,FS,0
2513C55R000TP00017,2514C81S690AR00011,FS,0
2513C81R000CV02010,2513G55R000CM00300,FS,0
2513C00R000PI00074,2513C88R150PI00075,SS,60
2513C55R000EW10300,2513C55R000EW10090,FS,0
2513C55R000EW10110,2514C55S000EW10010,SS,39
2513C55R000EW10100,2513C55R000EW10240,FS,0
2513C55R000EW10100,2513C55R000EW10112,SS,0
2513C55R000EW10090,2513C55R000TP00012,SS,5
2513C55R000EW10090,2513C55R000TP00018,SS,6
2513C55R000EW10310,2513M55R000ML40300,FF,0
2513C55R000EW10112,2513C55R000EW10110,FS,0
2513C55R000EW10210,2513G55R000CM00300,FS,0
2513C55R000EW10210,2513M55R000ML40020,FS,0
2513C55R000EW10140,2513F55R900CM00020,FS,0
2513C55R000EW10360,2513C55R000EW00002,FS,0
